,No.,Pos.,Player,DoB,Caps,Club,Age,Country,Club_Country,WC_Year
1760,9,FW,Nándor Hidegkuti (captain),1922-03-03,67,MTK FC,36.0,Hungary,Hungary,1958
1761,10,FW,Dezső Bundzsák,1928-05-03,6,Vasas SC,30.0,Hungary,Hungary,1958
1762,11,FW,Károly Sándor,1928-11-29,29,MTK FC,29.0,Hungary,Hungary,1958
1763,12,DF,Béla Kárpáti,1929-09-30,17,Vasas SC,28.0,Hungary,Hungary,1958
1764,13,DF,Oszkár Szigeti,1933,1,Diósgyőri VTK,,Hungary,Hungary,1958
1765,14,FW,Ferenc Szojka,1931-04-07,23,Salgótarjáni BTC,27.0,Hungary,Hungary,1958
1766,15,MF,Antal Kotász,1929-09-01,15,Budapest Honvéd FC,28.0,Hungary,Hungary,1958
1767,16,FW,László Lachos,,0,Tatabányai Bányász SE,,Hungary,Hungary,1958
1768,17,FW,Mihály Vasas,1933,1,Salgótarjáni BTC,,Hungary,Hungary,1958
1769,18,FW,Tivadar Monostori,1936-08-24,1,Dorogi Bányász,21.0,Hungary,Hungary,1958
1770,19,FW,Zoltán Friedmanszky,,0,Ferencvárosi TC,,Hungary,Hungary,1958
1771,20,FW,József Bencsics,1933-08-06,1,Újpesti Dózsa,24.0,Hungary,Hungary,1958
1772,21,FW,Máté Fenyvesi,1933-09-20,18,Ferencvárosi TC,24.0,Hungary,Hungary,1958
1773,22,GK,István Ilku,1933-03-06,4,Dorogi Bányász,25.0,Hungary,Hungary,1958
1774,1,GK,Antonio Carbajal (captain),1929-06-07,,Club León,29.0,Mexico,Mexico,1958
1775,2,DF,Jesús del Muro,1937-11-30,,CF Atlas,20.0,Mexico,Mexico,1958
1776,3,MF,Jorge Romo,1934-04-20,,Club Toluca,24.0,Mexico,Mexico,1958
1777,4,DF,José Villegas,1934-06-20,,CD Guadalajara,23.0,Mexico,Mexico,1958
1778,5,DF,Alfonso Portugal,1934-01-21,,Necaxa,24.0,Mexico,Mexico,1958
1779,6,MF,Francisco Flores,1926-02-12,,CD Guadalajara,32.0,Mexico,Mexico,1958
1780,7,MF,Alfredo Hernández,1935-06-18,,Club León,22.0,Mexico,Mexico,1958
1781,8,FW,Salvador Reyes,1936-09-20,,CD Guadalajara,21.0,Mexico,Mexico,1958
1782,9,FW,Carlos Calderón de la Barca,1934-10-02,,Atlante F.C.,23.0,Mexico,Mexico,1958
1783,10,FW,Crescencio Gutiérrez,1933-10-26,,CD Guadalajara,24.0,Mexico,Mexico,1958
1784,11,FW,Enrique Sesma,1927-04-22,,Club Toluca,31.0,Mexico,Mexico,1958
1785,12,GK,Manuel Camacho,1929-04-29,,Club Toluca,29.0,Mexico,Mexico,1958
1786,13,GK,Jaime Gómez,1929-12-29,,CD Guadalajara,28.0,Mexico,Mexico,1958
1787,14,FW,Miguel Gutiérrez,1931-05-07,,CF Atlas,27.0,Mexico,Mexico,1958
1788,15,MF,Guillermo Sepúlveda,1934-02-28,,CD Guadalajara,24.0,Mexico,Mexico,1958
1789,16,DF,José Antonio Roca,1928-05-24,,CD Zacatepec,30.0,Mexico,Mexico,1958
1790,17,DF,Raúl Cárdenas,1928-10-30,,CD Zacatepec,29.0,Mexico,Mexico,1958
1791,18,MF,Jaime Salazar,1931-02-06,,Necaxa,27.0,Mexico,Mexico,1958
1792,19,DF,Jaime Belmonte,1934-10-08,,CD Cuautla,23.0,Mexico,Mexico,1958
1793,20,FW,Carlos Blanco,1928-03-05,,Club Toluca,30.0,Mexico,Mexico,1958
1794,21,FW,Ligorio López,1928-08-18,,Club Irapuato,29.0,Mexico,Mexico,1958
1795,22,FW,Carlos González,1935-04-12,,CF Atlas,23.0,Mexico,Mexico,1958
1796,1,GK,Carlos José Castilho,1927-11-27,20,Fluminense,30.0,Brazil,Brazil,1958
1797,2,DF,Hilderaldo Bellini (captain),1930-06-07,8,Vasco da Gama,28.0,Brazil,Brazil,1958
1798,3,GK,Gilmar,1930-08-22,31,Corinthians,27.0,Brazil,Brazil,1958
1799,4,DF,Djalma Santos,1929-02-27,47,Portuguesa,29.0,Brazil,Brazil,1958
1800,5,MF,Dino Sani,1932-05-23,5,São Paulo,26.0,Brazil,Brazil,1958
1801,6,MF,Didi,1929-10-08,41,Botafogo,28.0,Brazil,Brazil,1958
1802,7,FW,Mário Zagallo,1931-08-09,3,Flamengo,26.0,Brazil,Brazil,1958
1803,8,MF,Oreco,1932-06-13,9,Corinthians,25.0,Brazil,Brazil,1958
1804,9,MF,Zózimo,1932-06-19,26,Bangu,25.0,Brazil,Brazil,1958
1805,10,FW,Pelé,1940-10-23,5,Santos,17.0,Brazil,Brazil,1958
1806,11,FW,Garrincha,1933-10-28,8,Botafogo,24.0,Brazil,Brazil,1958
1807,12,DF,Nílton Santos,1925-05-16,46,Botafogo,33.0,Brazil,Brazil,1958
1808,13,MF,Moacir,1936-05-18,5,Flamengo,22.0,Brazil,Brazil,1958
1809,14,DF,De Sordi,1931-02-14,14,São Paulo,27.0,Brazil,Brazil,1958
1810,15,DF,Orlando,1935-09-20,1,Vasco da Gama,22.0,Brazil,Brazil,1958
1811,16,DF,Mauro Ramos,1930-08-30,10,São Paulo,27.0,Brazil,Brazil,1958
1812,17,FW,Joel Antônio Martins,1931-11-11,11,Flamengo,26.0,Brazil,Brazil,1958
1813,18,FW,Mazzola,1938-07-24,5,Palmeiras,19.0,Brazil,Brazil,1958
1814,19,MF,Zito,1932-08-18,3,Santos,25.0,Brazil,Brazil,1958
1815,20,FW,Vavá,1934-11-12,3,Vasco da Gama,23.0,Brazil,Brazil,1958
1816,21,FW,Dida,1934-03-26,3,Flamengo,24.0,Brazil,Brazil,1958
1817,22,FW,Pepe,1935-02-25,11,Santos,23.0,Brazil,Brazil,1958
1818,1,GK,Lev Yashin,1929-10-22,22,Dynamo Moscow,28.0,Soviet Union,Soviet Union,1958
1819,2,DF,Vladimir Kesarev,1930-02-26,2,Dynamo Moscow,28.0,Soviet Union,Soviet Union,1958
1820,3,MF,Konstantin Krizhevsky,1926-02-20,9,Dynamo Moscow,32.0,Soviet Union,Soviet Union,1958
1821,4,DF,Boris Kuznetsov,1928-07-14,15,Dynamo Moscow,29.0,Soviet Union,Soviet Union,1958
1822,5,DF,Yuri Voinov,1931-11-29,9,Dynamo Kyiv,26.0,Soviet Union,Soviet Union,1958
1823,6,FW,Igor Netto (captain),1930-01-09,30,Spartak Moscow,28.0,Soviet Union,Soviet Union,1958
1824,7,FW,German Apukhtin,1936-06-12,2,CSKA Moscow,21.0,Soviet Union,Soviet Union,1958
1825,8,FW,Valentin Ivanov,1934-11-19,15,Torpedo Moscow,23.0,Soviet Union,Soviet Union,1958
1826,9,FW,Nikita Simonyan,1926-10-12,13,Spartak Moscow,31.0,Soviet Union,Soviet Union,1958
1827,10,FW,Sergei Salnikov,1925-09-13,17,Spartak Moscow,32.0,Soviet Union,Soviet Union,1958
1828,11,FW,Anatoli Ilyin,1931-06-27,22,Spartak Moscow,26.0,Soviet Union,Soviet Union,1958
1829,12,GK,Vladimir Maslachenko,1936-03-05,0,Lokomotiv Moscow,22.0,Soviet Union,Soviet Union,1958
1830,13,GK,Vladimir Belyayev,1933-09-15,2,Dynamo Moscow,24.0,Soviet Union,Soviet Union,1958
1831,14,DF,Leonid Ostrovskiy,1936-01-17,0,Torpedo Moscow,22.0,Soviet Union,Soviet Union,1958
1832,15,DF,Anatoli Maslyonkin,1930-06-26,8,Spartak Moscow,27.0,Soviet Union,Soviet Union,1958
1833,16,MF,Viktor Tsarev,1931-06-02,1,Dynamo Moscow,27.0,Soviet Union,Soviet Union,1958
1834,17,FW,Aleksandr Ivanov,1928-04-14,0,Zenit Leningrad,30.0,Soviet Union,Soviet Union,1958
1835,18,FW,Valentin Bubukin,1933-04-23,0,Lokomotiv Moscow,25.0,Soviet Union,Soviet Union,1958
1836,19,FW,Gennadi Gusarov,1937-03-11,0,Torpedo Moscow,21.0,Soviet Union,Soviet Union,1958
1837,20,FW,Yuri Falin,1937-04-02,1,Torpedo Moscow,21.0,Soviet Union,Soviet Union,1958
1838,21,FW,Genrich Fedosov,1932-12-06,1,Dynamo Moscow,25.0,Soviet Union,Soviet Union,1958
1839,22,DF,Vladimir Yerokhin,1930-04-10,0,Dynamo Kyiv,28.0,Soviet Union,Soviet Union,1958
1840,1,GK,Colin McDonald,1930-10-15,1,Burnley,27.0,England,England,1958
1841,2,DF,Don Howe,1935-10-12,7,West Bromwich Albion,22.0,England,England,1958
1842,3,DF,Tommy Banks,1929-11-10,1,Bolton Wanderers,28.0,England,England,1958
1843,4,MF,Eddie Clamp,1934-09-14,1,Wolverhampton Wanderers,23.0,England,England,1958
1844,5,MF,Billy Wright (captain),1924-02-06,92,Wolverhampton Wanderers,34.0,England,England,1958
1845,6,MF,Bill Slater,1927-04-29,6,Wolverhampton Wanderers,31.0,England,England,1958
1846,7,FW,Bryan Douglas,1934-05-27,7,Blackburn Rovers,24.0,England,England,1958
1847,8,FW,Bobby Robson,1933-02-18,2,West Bromwich Albion,25.0,England,England,1958
1848,9,FW,Derek Kevan,1935-03-06,7,West Bromwich Albion,23.0,England,England,1958
1849,10,FW,Johnny Haynes,1934-10-17,20,Fulham,23.0,England,England,1958
1850,11,FW,Tom Finney,1922-04-05,73,Preston North End,36.0,England,England,1958
1851,12,GK,Eddie Hopkinson,1935-10-29,6,Bolton Wanderers,22.0,England,England,1958
1852,13,GK,Alan Hodgkinson*,1936-08-16,4,Sheffield United,21.0,England,England,1958
1853,14,DF,Peter Sillett,1933-02-01,3,Chelsea,25.0,England,England,1958
1854,15,DF,Ronnie Clayton,1934-08-05,20,Blackburn Rovers,23.0,England,England,1958
1855,16,DF,Maurice Norman,1934-05-08,0,Tottenham Hotspur,24.0,England,England,1958
1856,17,FW,Peter Brabrook,1937-11-08,0,Chelsea,20.0,England,England,1958
1857,18,FW,Peter Broadbent,1933-05-15,0,Wolverhampton Wanderers,25.0,England,England,1958
1858,19,FW,Bobby Smith,1933-02-22,0,Tottenham Hotspur,25.0,England,England,1958
1859,20,MF,Bobby Charlton,1937-10-11,3,Manchester United,20.0,England,England,1958
1860,21,FW,Alan A'Court,1934-09-30,1,Liverpool,23.0,England,England,1958
1861,22,FW,Maurice Setters*,1936-12-16,0,West Bromwich Albion,21.0,England,England,1958
1862,1,GK,Rudolf Szanwald,1931-07-06,2,Wiener SC,26.0,Austria,Austria,1958
1863,2,DF,Paul Halla,1931-04-10,20,SK Rapid Wien,27.0,Austria,Austria,1958
1864,3,DF,Ernst Happel,1925-11-29,47,SK Rapid Wien,32.0,Austria,Austria,1958
1865,4,DF,Franz Swoboda,1933-02-15,13,Austria Wien,25.0,Austria,Austria,1958
1866,5,DF,Gerhard Hanappi (captain),1929-07-09,67,SK Rapid Wien,28.0,Austria,Austria,1958
1867,6,MF,Karl Koller,1929-02-08,38,First Vienna FC,29.0,Austria,Austria,1958
1868,7,FW,Walter Horak,1931-06-01,2,Wiener SC,27.0,Austria,Austria,1958
1869,8,FW,Paul Kozlicek,1937-07-22,5,Wacker Wien,20.0,Austria,Austria,1958
1870,9,FW,Hans Buzek,1938-05-22,10,First Vienna FC,20.0,Austria,Austria,1958
1871,10,FW,Alfred Körner,1926-02-14,,SK Rapid Wien,32.0,Austria,Austria,1958
1872,11,FW,Helmut Senekowitsch,1933-10-22,4,SK Sturm Graz,24.0,Austria,Austria,1958
1873,12,GK,Kurt Schmied,1926-06-14,23,First Vienna FC,31.0,Austria,Austria,1958
1874,13,FW,Walter Schleger,1929-09-19,17,Austria Wien,28.0,Austria,Austria,1958
1875,14,FW,Josef Hamerl,1931-01-22,2,Wiener SC,27.0,Austria,Austria,1958
1876,15,DF,Walter Kollmann,1932-06-17,14,Wacker Wien,25.0,Austria,Austria,1958
1877,16,MF,Karl Stotz,1927-03-27,19,Austria Wien,31.0,Austria,Austria,1958
1878,17,MF,Ernst Kozlicek,1931-01-27,7,Wacker Wien,27.0,Austria,Austria,1958
1879,18,DF,Leopold Barschandt,1925-08-12,20,Wiener SC,32.0,Austria,Austria,1958
1880,19,FW,Robert Dienst,1928-03-01,26,SK Rapid Wien,30.0,Austria,Austria,1958
1881,20,FW,Herbert Ninaus,1937-03-31,0,Grazer AK,21.0,Austria,Austria,1958
1882,21,MF,Ignaz Puschnik,1934-02-05,1,Kapfenberger SV,24.0,Austria,Austria,1958
1883,22,GK,Bruno Engelmeier,1927-09-05,7,1. Simmeringer SC,30.0,Austria,Austria,1958
1884,1,GK,Lev Yashin,1929-10-22,42,Dynamo Moscow,32.0,Soviet Union,Soviet Union,1962
1885,2,GK,Vladimir Maslachenko,1936-03-05,8,Lokomotiv Moscow,26.0,Soviet Union,Soviet Union,1962
1886,3,GK,Sergey Kotrikadze,1936-08-09,0,Dinamo Tbilisi,25.0,Soviet Union,Soviet Union,1962
1887,4,DF,Eduard Dubinski,1935-04-06,9,CSKA Moscow,27.0,Soviet Union,Soviet Union,1962
1888,5,DF,Givi Chokheli,1937-06-27,16,Dinamo Tbilisi,24.0,Soviet Union,Soviet Union,1962
1889,6,DF,Leonid Ostrovskiy,1936-01-17,3,Torpedo Moscow,26.0,Soviet Union,Soviet Union,1962
1890,7,DF,Anatoli Maslyonkin,1930-06-26,29,Spartak Moscow,31.0,Soviet Union,Soviet Union,1962
1891,8,MF,Albert Shesternyov,1941-06-20,1,CSKA Moscow,20.0,Soviet Union,Soviet Union,1962
1892,9,MF,Nikolai Manoshin,1938-03-06,8,Torpedo Moscow,24.0,Soviet Union,Soviet Union,1962
1893,10,MF,Igor Netto (captain),1930-01-09,48,Spartak Moscow,32.0,Soviet Union,Soviet Union,1962
1894,11,MF,Yozhef Sabo,1940-03-01,0,Dynamo Kyiv,22.0,Soviet Union,Soviet Union,1962
1895,12,DF,Valery Voronin,1939-07-17,14,Torpedo Moscow,22.0,Soviet Union,Soviet Union,1962
1896,13,FW,Gennadi Gusarov,1937-03-11,5,Torpedo Moscow,25.0,Soviet Union,Soviet Union,1962
1897,14,FW,Valentin Ivanov,1934-11-19,39,Torpedo Moscow,27.0,Soviet Union,Soviet Union,1962
1898,15,FW,Viktor Kanevski,1936-10-03,3,Dynamo Kyiv,25.0,Soviet Union,Soviet Union,1962
1899,16,FW,Aleksei Mamykin,1936-02-29,7,CSKA Moscow,26.0,Soviet Union,Soviet Union,1962
1900,17,FW,Mikhail Meskhi,1937-01-12,18,Dinamo Tbilisi,25.0,Soviet Union,Soviet Union,1962
1901,18,MF,Slava Metreveli,1936-05-30,19,Torpedo Moscow,26.0,Soviet Union,Soviet Union,1962
1902,19,FW,Viktor Ponedelnik,1937-05-22,15,SKA Rostov,25.0,Soviet Union,Soviet Union,1962
1903,20,FW,Viktor Serebryanikov,1940-03-29,0,Dynamo Kyiv,22.0,Soviet Union,Soviet Union,1962
1904,21,MF,Galimzyan Khusainov,1937-06-27,3,Spartak Moscow,24.0,Soviet Union,Soviet Union,1962
1905,22,MF,Igor Chislenko,1939-09-08,5,Dynamo Moscow,22.0,Soviet Union,Soviet Union,1962
1906,1,GK,Milutin Šoškić,1937-12-31,29,Partizan Belgrade,24.0,Yugoslavia,Yugoslavia,1962
1907,2,DF,Vladimir Durković,1937-11-06,33,Red Star Belgrade,24.0,Yugoslavia,Yugoslavia,1962
1908,3,DF,Fahrudin Jusufi,1939-12-08,29,Partizan Belgrade,22.0,Yugoslavia,Yugoslavia,1962
1909,4,MF,Petar Radaković,1937-02-02,9,Rijeka,25.0,Yugoslavia,Yugoslavia,1962
1910,5,DF,Vlatko Marković,1937-01-01,7,Dinamo Zagreb,25.0,Yugoslavia,Yugoslavia,1962
1911,6,DF,Vladica Popović,1935-03-17,3,Red Star Belgrade,27.0,Yugoslavia,Yugoslavia,1962
1912,7,FW,Andrija Anković,1937-07-16,7,Hajduk Split,24.0,Yugoslavia,Yugoslavia,1962
1913,8,MF,Dragoslav Šekularac,1937-11-08,29,Red Star Belgrade,24.0,Yugoslavia,Yugoslavia,1962
1914,9,FW,Dražan Jerković,1936-08-06,9,Dinamo Zagreb,25.0,Yugoslavia,Yugoslavia,1962
1915,10,MF,Milan Galić (captain),1938-03-08,28,Partizan Belgrade,24.0,Yugoslavia,Yugoslavia,1962
1916,11,FW,Josip Skoblar,1941-03-12,2,OFK Belgrade,21.0,Yugoslavia,Yugoslavia,1962
1917,12,GK,Srboljub Krivokuća,1928-03-14,7,OFK Belgrade,34.0,Yugoslavia,Yugoslavia,1962
1918,13,DF,Slavko Svinjarević,1935-04-16,1,Vojvodina Novi Sad,27.0,Yugoslavia,Yugoslavia,1962
1919,14,DF,Vasilije Šijaković,1929-07-31,10,OFK Belgrade,32.0,Yugoslavia,Yugoslavia,1962
1920,15,MF,Željko Matuš,1935-08-09,9,Dinamo Zagreb,26.0,Yugoslavia,Yugoslavia,1962
1921,16,FW,Muhamed Mujić,1932-04-25,31,Velež Mostar,30.0,Yugoslavia,Yugoslavia,1962
1922,17,MF,Vojislav Melić,1940-01-05,0,Red Star Belgrade,22.0,Yugoslavia,Yugoslavia,1962
1923,18,MF,Vladica Kovačević,1940-01-07,4,Partizan Belgrade,22.0,Yugoslavia,Yugoslavia,1962
1924,19,GK,Mirko Stojanović,1939-06-11,2,Dinamo Zagreb,22.0,Yugoslavia,Yugoslavia,1962
1925,20,DF,Žarko Nikolić,1938-10-16,9,Vojvodina Novi Sad,23.0,Yugoslavia,Yugoslavia,1962
1926,21,FW,Nikola Stipić,1937-12-18,0,Red Star Belgrade,24.0,Yugoslavia,Yugoslavia,1962
1927,22,MF,Aleksandar Ivoš,1931-06-28,0,Sloboda Tuzla,30.0,Yugoslavia,Yugoslavia,1962
1928,1,GK,Roberto Sosa,1935-06-14,11,Nacional,26.0,Uruguay,Uruguay,1962
1929,2,DF,Horacio Troche (captain),1936-02-14,16,Nacional,26.0,Uruguay,Uruguay,1962
1930,3,DF,Emilio Álvarez,1939-02-10,5,Nacional,23.0,Uruguay,Uruguay,1962
1931,4,DF,Omar Méndez,1938-05-11,,Nacional,24.0,Uruguay,Uruguay,1962
1932,5,MF,Néstor Gonçalves,1936-04-27,25,Peñarol,26.0,Uruguay,Uruguay,1962
1933,6,MF,Pedro Cubilla,1933-08-25,6,Rampla Juniors,32.0,Uruguay,Uruguay,1962
1934,7,FW,Domingo Pérez,1936-06-07,9,Nacional,25.0,Uruguay,Uruguay,1962
1935,8,MF,Julio César Cortés,1941-03-29,1,Sud América,21.0,Uruguay,Uruguay,1962
1936,9,FW,José Sasía,1933-12-27,35,Peñarol,28.0,Uruguay,Uruguay,1962
1937,10,MF,Pedro Rocha,1942-12-03,3,Peñarol,19.0,Uruguay,Uruguay,1962
1938,11,FW,Luis Cubilla,1940-03-28,12,Peñarol,22.0,Uruguay,Uruguay,1962
1939,12,GK,Luis Maidana,1934-02-24,9,Peñarol,28.0,Uruguay,Uruguay,1962
1940,14,DF,William Martínez,1928-01-13,44,Peñarol,34.0,Uruguay,Uruguay,1962
1941,15,DF,Rubén Soria,1935-01-23,2,Cerro,27.0,Uruguay,Uruguay,1962
1942,16,MF,Edgardo González,1936-09-30,21,Peñarol,25.0,Uruguay,Uruguay,1962
1943,17,DF,Rubén González,1939-07-17,10,Nacional,22.0,Uruguay,Uruguay,1962
1944,18,DF,Eliseo Álvarez,1940-08-09,0,Nacional,21.0,Uruguay,Uruguay,1962
1945,19,MF,Ronald Langón,1939-08-06,5,Defensor,22.0,Uruguay,Uruguay,1962
1946,20,FW,Mario Ludovico Bergara,1937-12-01,12,Nacional,24.0,Uruguay,Uruguay,1962
1947,21,FW,Héctor Silva,1940-02-01,6,Danubio,22.0,Uruguay,Uruguay,1962
1948,22,FW,Ángel Cabrera,1939-10-09,3,Peñarol,22.0,Uruguay,Uruguay,1962
1949,23,FW,Guillermo Escalada,1936-04-24,29,Nacional,26.0,Uruguay,Uruguay,1962
1950,1,GK,Efraín Sánchez,1926-02-27,27,Independiente Medellín,36.0,Colombia,Colombia,1962
1951,2,GK,Achito Vivas,1934-03-01,0,Deportivo Pereira,28.0,Colombia,Colombia,1962
1952,3,DF,Francisco Zuluaga (captain),1929-02-04,9,Independiente Santa Fe,33.0,Colombia,Colombia,1962
1953,4,DF,Aníbal Alzate,1933-01-31,4,Deportes Tolima,29.0,Colombia,Colombia,1962
1954,5,DF,Jaime González,1938-04-01,2,América de Cali,24.0,Colombia,Colombia,1962
1955,6,DF,Ignacio Calle,1931-08-21,8,Atlético Nacional,30.0,Colombia,Colombia,1962
1956,7,DF,Carlos Aponte,1939-01-24,1,Independiente Santa Fe,23.0,Colombia,Colombia,1962
1957,8,DF,Héctor Echeverry,1938-04-10,5,Independiente Medellín,24.0,Colombia,Colombia,1962
1958,9,MF,Jaime Silva,1935-10-10,12,Independiente Santa Fe,26.0,Colombia,Colombia,1962
1959,10,MF,Rolando Serrano,1938-11-13,5,América de Cali,23.0,Colombia,Colombia,1962
1960,11,DF,Óscar López,1939-04-02,4,Once Caldas,23.0,Colombia,Colombia,1962
1961,12,MF,Hernando Tovar,1938-06-07,0,Independiente Santa Fe,23.0,Colombia,Colombia,1962
1962,13,FW,Germán Aceros,1938-09-30,6,Deportivo Cali,23.0,Colombia,Colombia,1962
1963,14,FW,Luis Paz,1942-06-25,0,América de Cali,19.0,Colombia,Colombia,1962
1964,15,MF,Marcos Coll,1935-08-23,4,América de Cali,26.0,Colombia,Colombia,1962
1965,16,FW,Ignacio Pérez,1934-12-19,4,Once Caldas,27.0,Colombia,Colombia,1962
1966,17,FW,Marino Klinger,1936-02-07,3,Millonarios,26.0,Colombia,Colombia,1962
1967,18,FW,Eusebio Escobar,1936-07-02,2,Deportivo Pereira,25.0,Colombia,Colombia,1962
1968,19,FW,Delio Gamboa,1936-01-28,9,Millonarios,26.0,Colombia,Colombia,1962
1969,20,FW,Antonio Rada,1937-06-13,2,Deportivo Pereira,24.0,Colombia,Colombia,1962
1970,21,FW,Héctor González,1937-07-07,3,Independiente Santa Fe,24.0,Colombia,Colombia,1962
1971,22,FW,Jairo Arias,1938-11-02,4,Atlético Nacional,23.0,Colombia,Colombia,1962
1972,1,GK,Hans Tilkowski,1935-07-12,18,Westfalia Herne,26.0,West Germany,West Germany,1962
1973,2,DF,Herbert Erhardt,1930-07-06,45,Greuther Fürth,31.0,West Germany,West Germany,1962
1974,3,DF,Karl-Heinz Schnellinger,1939-03-31,19,1. FC Köln,23.0,West Germany,West Germany,1962
1975,4,DF,Willi Schulz,1938-10-04,8,FC Schalke 04,23.0,West Germany,West Germany,1962
1976,5,DF,Leo Wilden,1936-07-03,6,1. FC Köln,25.0,West Germany,West Germany,1962
1977,6,MF,Horst Szymaniak,1934-08-29,33,Calcio Catania,27.0,West Germany,Italy,1962
1978,7,MF,Willi Koslowski,1937-02-17,1,FC Schalke 04,25.0,West Germany,West Germany,1962
1979,8,FW,Helmut Haller,1939-07-21,16,BC Augsburg,22.0,West Germany,West Germany,1962
1980,9,FW,Uwe Seeler,1936-11-05,30,Hamburger SV,25.0,West Germany,West Germany,1962
1981,10,MF,Albert Brülls,1937-03-26,18,Borussia Mönchengladbach,25.0,West Germany,West Germany,1962
1982,11,FW,Hans Schäfer (captain),1927-10-19,35,1. FC Köln,34.0,West Germany,West Germany,1962
1983,12,DF,Hans Nowak,1937-08-09,3,FC Schalke 04,24.0,West Germany,West Germany,1962
1984,13,DF,Jürgen Kurbjuhn,1940-07-26,1,Hamburger SV,21.0,West Germany,West Germany,1962
1985,14,DF,Jürgen Werner,1935-08-15,2,Hamburger SV,26.0,West Germany,West Germany,1962
1986,15,MF,Willi Giesemann,1937-09-02,9,Bayern Munich,24.0,West Germany,West Germany,1962
1987,16,MF,Hans Sturm,1934-09-03,2,1. FC Köln,27.0,West Germany,West Germany,1962
1988,17,FW,Engelbert Kraus,1934-07-30,5,Kickers Offenbach,27.0,West Germany,West Germany,1962
1989,18,MF,Günther Herrmann,1939-09-01,7,Karlsruher SC,22.0,West Germany,West Germany,1962
1990,19,FW,Heinz Strehl,1938-07-20,0,1. FC Nuremberg,23.0,West Germany,West Germany,1962
1991,20,FW,Heinz Vollmar,1936-04-26,12,1. FC Saarbrücken,26.0,West Germany,West Germany,1962
1992,21,GK,Günter Sawitzki,1932-11-22,9,VfB Stuttgart,29.0,West Germany,West Germany,1962
1993,22,GK,Wolfgang Fahrian,1941-05-31,1,TSG Ulm 1846,20.0,West Germany,West Germany,1962
1994,1,GK,Misael Escuti,1926-12-20,31,Colo-Colo,35.0,Chile,Chile,1962
1995,2,DF,Luis Eyzaguirre,1939-06-22,19,Universidad de Chile,22.0,Chile,Chile,1962
1996,3,DF,Raúl Sánchez,1933-10-26,21,Santiago Wanderers,28.0,Chile,Chile,1962
1997,4,DF,Sergio Navarro (captain),1936-11-20,26,Universidad de Chile,25.0,Chile,Chile,1962
1998,5,DF,Carlos Contreras,1938-10-07,6,Universidad de Chile,23.0,Chile,Chile,1962
1999,6,MF,Eladio Rojas,1934-11-08,11,Everton,27.0,Chile,Chile,1962
2000,7,FW,Jaime Ramírez,1931-08-14,39,Universidad de Chile,30.0,Chile,Chile,1962
2001,8,MF,Jorge Toro,1939-01-10,15,Colo-Colo,23.0,Chile,Chile,1962
2002,9,FW,Honorino Landa,1942-06-01,4,Unión Española,19.0,Chile,Chile,1962
2003,10,FW,Alberto Fouilloux,1940-11-22,15,Universidad Católica,21.0,Chile,Chile,1962
2004,11,FW,Leonel Sánchez,1936-04-25,45,Universidad de Chile,26.0,Chile,Chile,1962
2005,12,GK,Adán Godoy,1936-11-26,0,Santiago Morning,25.0,Chile,Chile,1962
2006,13,DF,Sergio Valdés,1935-06-22,16,Universidad Católica,26.0,Chile,Chile,1962
2007,14,DF,Hugo Lepe,1940-04-14,1,Santiago Morning,22.0,Chile,Chile,1962
2008,15,DF,Manuel Rodríguez,1938-01-18,2,Unión Española,24.0,Chile,Chile,1962
2009,16,DF,Humberto Cruz,1934-12-06,2,Santiago Morning,27.0,Chile,Chile,1962
2010,17,MF,Mario Ortiz,1936-01-28,12,Colo-Colo,26.0,Chile,Chile,1962
2011,18,FW,Mario Moreno,1935-12-31,24,Colo-Colo,26.0,Chile,Chile,1962
2012,19,FW,Braulio Musso,1937-05-24,14,Universidad de Chile,25.0,Chile,Chile,1962
2013,20,FW,Carlos Campos,1937-02-14,2,Universidad de Chile,25.0,Chile,Chile,1962
2014,21,FW,Armando Tobar,1938-06-07,17,Universidad Católica,23.0,Chile,Chile,1962
2015,22,GK,Manuel Astorga,1943-03-16,5,Universidad de Chile,19.0,Chile,Chile,1962
2016,1,GK,Lorenzo Buffon (captain),1929-12-19,13,Internazionale,32.0,Italy,Italy,1962
2017,2,DF,Giacomo Losi,1935-11-09,9,Roma,26.0,Italy,Italy,1962
2018,3,MF,Luigi Radice,1935-01-15,2,Milan,27.0,Italy,Italy,1962
2019,4,DF,Sandro Salvadore,1939-11-29,5,Milan,22.0,Italy,Italy,1962
2020,5,DF,Cesare Maldini,1932-02-05,6,Milan,30.0,Italy,Italy,1962
2021,6,MF,Giovanni Trapattoni,1939-03-17,7,Milan,23.0,Italy,Italy,1962
2022,7,FW,Bruno Mora,1937-03-29,9,Juventus,25.0,Italy,Italy,1962
2023,8,FW,Humberto Maschio,1933-02-20,1,Atalanta,29.0,Italy,Italy,1962
2024,9,FW,José Altafini,1938-07-24,4,Milan,23.0,Italy,Italy,1962
2025,10,FW,Omar Sívori,1935-10-02,7,Juventus,26.0,Italy,Italy,1962
2026,11,FW,Giampaolo Menichelli,1938-06-29,2,Roma,23.0,Italy,Italy,1962
2027,12,GK,Carlo Mattrel,1937-04-14,1,Palermo,25.0,Italy,Italy,1962
2028,13,GK,Enrico Albertosi,1939-11-02,1,Fiorentina,22.0,Italy,Italy,1962
